token_id,gender,background,body,body_type,body_style,body_color,face,face_type,face_style,face_color,hair,hair_type,hair_style,hair_color,type,type_type,type_color,repeated_color,image_original_url,metadata_original_url
1496,Male,Blue,TShirt Pink Dot Pattern,Clothing,Tshirt,Pink Dot Pattern,Rainbow Boombox,Glasses,Rainbow Boombox,Rainbow Boombox,Flat Top Black,Hair,Flat Top,Black,Gradient Pink Pink,Gradient,Pink Pink,1,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/1496.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/1496
1497,Male,Blue,Short Sleeve Button Up Red Pepper Pattern,Clothing,Short Sleeve Button Up,Red Pepper Pattern,Eyepatch,Glasses,Eyepatch,Eyepatch,Middle Part Pink,Hair,Middle Part,Pink,Gradient Blue Purple Pink,Gradient,Blue Purple Pink,1,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/1497.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/1497
1498,Male,Pink,Hoodie Blue,Clothing,Hoodie,Blue,Billiards Glasses,Glasses,Billiards Glasses,Billiards Glasses,Mullet Shiny Black,Hair,Mullet,Shiny Black,Plastic Pink,Plastic,Pink,2,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/1498.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/1498
1499,Male,Pink,Leather Jacket Glass,Clothing,Leather Jacket,Glass,Robo Visor Dots Full,Glasses,Robo Visor,Dots Full,Mullet Glass,Hair,Mullet,Glass,Rainbow,Rainbow,Rainbow,2,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/1499.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/1499
1500,Male,Yellow,Turtleneck Lime Chrome,Clothing,Turtleneck,Lime Chrome,Aviator Sunglasses Clear Glass,Glasses,Aviator Sunglasses,Clear Glass,Dundee Hat Lime,Headgear,Dundee Hat,Lime,Gradient Lime Yellow,Gradient,Lime Yellow,1,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/1500.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/1500
1501,Male,Cream,Hoodie White,Clothing,Hoodie,White,Monocle,Glasses,Monocle,Monocle,Rainbow Headband White Headphones,Headgear,Headphones,Rainbow White,Gradient Pink Pink,Gradient,Pink Pink,1,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/1501.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/1501
1502,Male,Gray,Short Sleeve Button Up Disco Ball Black,Clothing,Short Sleeve Button Up,Disco Ball Black,Meditation,Expression,Meditation,No Color,Mullet Black,Hair,Mullet,Black,Grayscale,Grayscale,Grayscale,1,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/1502.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/1502
1503,Male,Blue,Driving Jacket Yellow,Clothing,Driving Jacket,Yellow,Calm Smile,Expression,Calm Smile,No Color,Manbun Black,Hair,Manbun,Black,Gradient Yellow Orange,Gradient,Yellow Orange,1,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/1503.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/1503
1504,Male,Cream,Short Sleeve Button Up Scribble Stripes Red,Clothing,Short Sleeve Button Up,Scribble Stripes Red,Eyepatch,Glasses,Eyepatch,Eyepatch,Middle Part Chrome,Hair,Middle Part,Chrome,Robot Ice,Robot,Ice,1,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/1504.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/1504
1505,Male,Cream,Letterman Jacket Light Blue,Clothing,Letterman Jacket,Light Blue,None,Special,None,None,Pothead,Special,Pothead,Pothead,Robot Red Candy Apple,Robot,Red Candy Apple,1,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/1505.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/1505
1506,Male,Pink,Puffy Vest Blue,Clothing,Puffy Vest,Blue,Gold Vibe Hand,Special,Vibe Hand,Gold,Comb Over Black,Hair,Comb Over,Black,Gradient Pink Magenta Red,Gradient,Pink Magenta Red,1,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/1506.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/1506
